"var","Split","freq","opt_value","iter","forest"
14,-0.7464,0.0261,7.18492239877963e-32,1,"Forest_disc_NLD50"
14,5e-04,0.4553,7.18492239877963e-32,1,"Forest_disc_NLD50"
14,0.5622,0.022,7.18492239877963e-32,1,"Forest_disc_NLD50"
14,0.5979,0.0542,7.18492239877963e-32,1,"Forest_disc_NLD50"
14,0.6574,0.1067,7.18492239877963e-32,1,"Forest_disc_NLD50"
14,0.7255,0.0485,7.18492239877963e-32,1,"Forest_disc_NLD50"
14,0.7261,0.0947,7.18492239877963e-32,1,"Forest_disc_NLD50"
15,-0.82385,0.3895,5.54667823983524e-31,1,"Forest_disc_NLD50"
15,0.00356,0.3511,5.54667823983524e-31,1,"Forest_disc_NLD50"
15,0.28857,0.1092,5.54667823983524e-31,1,"Forest_disc_NLD50"
15,0.95334,0.1502,5.54667823983524e-31,1,"Forest_disc_NLD50"
16,-0.595,0.1585,1.44367708631267e-30,1,"Forest_disc_NLD50"
16,0.047,0.0919,1.44367708631267e-30,1,"Forest_disc_NLD50"
16,0.07,0.2396,1.44367708631267e-30,1,"Forest_disc_NLD50"
16,0.267,0.1801,1.44367708631267e-30,1,"Forest_disc_NLD50"
16,0.3,0.0067,1.44367708631267e-30,1,"Forest_disc_NLD50"
16,0.792,0.1713,1.44367708631267e-30,1,"Forest_disc_NLD50"
16,0.844,0.0139,1.44367708631267e-30,1,"Forest_disc_NLD50"
16,0.907,0.1359,1.44367708631267e-30,1,"Forest_disc_NLD50"
16,0.924,0.002,1.44367708631267e-30,1,"Forest_disc_NLD50"
17,-0.7435,0.5888,2.07461173609393e-30,1,"Forest_disc_NLD50"
17,0.0345,0.3289,2.07461173609393e-30,1,"Forest_disc_NLD50"
17,0.8544,6e-04,2.07461173609393e-30,1,"Forest_disc_NLD50"
17,0.9099,0.0817,2.07461173609393e-30,1,"Forest_disc_NLD50"
18,-0.26829,0.0995,2.90276161218044e-30,1,"Forest_disc_NLD50"
18,-0.10127,0.0965,2.90276161218044e-30,1,"Forest_disc_NLD50"
18,0.15267,0.264,2.90276161218044e-30,1,"Forest_disc_NLD50"
18,0.31243,0.0059,2.90276161218044e-30,1,"Forest_disc_NLD50"
18,0.49524,0.0512,2.90276161218044e-30,1,"Forest_disc_NLD50"
18,0.88606,0.4829,2.90276161218044e-30,1,"Forest_disc_NLD50"
19,-0.7302,0.2285,5.95365131120857e-30,1,"Forest_disc_NLD50"
19,-0.6337,0.0344,5.95365131120857e-30,1,"Forest_disc_NLD50"
19,-0.0683,0.1412,5.95365131120857e-30,1,"Forest_disc_NLD50"
19,-0.0618,0.1671,5.95365131120857e-30,1,"Forest_disc_NLD50"
19,0.0851,0.1709,5.95365131120857e-30,1,"Forest_disc_NLD50"
19,0.2937,0.0931,5.95365131120857e-30,1,"Forest_disc_NLD50"
19,0.6399,0.0533,5.95365131120857e-30,1,"Forest_disc_NLD50"
19,0.9646,0.1116,5.95365131120857e-30,1,"Forest_disc_NLD50"
20,-0.1645,0.2153,9.62964972193618e-32,1,"Forest_disc_NLD50"
20,0.0467,0.0098,9.62964972193618e-32,1,"Forest_disc_NLD50"
20,0.086,0.0161,9.62964972193618e-32,1,"Forest_disc_NLD50"
20,0.3121,0.1226,9.62964972193618e-32,1,"Forest_disc_NLD50"
20,0.5616,0.3018,9.62964972193618e-32,1,"Forest_disc_NLD50"
20,0.7666,0.1885,9.62964972193618e-32,1,"Forest_disc_NLD50"
20,0.9811,0.146,9.62964972193618e-32,1,"Forest_disc_NLD50"
21,-0.30281,0.1377,7.14751120960991e-30,1,"Forest_disc_NLD50"
21,-0.2795,0.0196,7.14751120960991e-30,1,"Forest_disc_NLD50"
21,-0.16811,0.0868,7.14751120960991e-30,1,"Forest_disc_NLD50"
21,-0.14891,0.0928,7.14751120960991e-30,1,"Forest_disc_NLD50"
21,0.13378,0.015,7.14751120960991e-30,1,"Forest_disc_NLD50"
21,0.23093,0.0678,7.14751120960991e-30,1,"Forest_disc_NLD50"
21,0.3122,0.1416,7.14751120960991e-30,1,"Forest_disc_NLD50"
21,0.3433,0.0994,7.14751120960991e-30,1,"Forest_disc_NLD50"
21,0.57634,0.0965,7.14751120960991e-30,1,"Forest_disc_NLD50"
21,0.95947,0.2429,7.14751120960991e-30,1,"Forest_disc_NLD50"
22,-0.8158,0.1027,1.30192864240577e-31,1,"Forest_disc_NLD50"
22,-0.74146,5e-04,1.30192864240577e-31,1,"Forest_disc_NLD50"
22,-0.01077,0.2712,1.30192864240577e-31,1,"Forest_disc_NLD50"
22,0.12628,0.1024,1.30192864240577e-31,1,"Forest_disc_NLD50"
22,0.46201,0.3007,1.30192864240577e-31,1,"Forest_disc_NLD50"
22,0.73449,0.0659,1.30192864240577e-31,1,"Forest_disc_NLD50"
22,0.73625,1e-04,1.30192864240577e-31,1,"Forest_disc_NLD50"
22,0.9903,0.0836,1.30192864240577e-31,1,"Forest_disc_NLD50"
22,0.99055,0.0728,1.30192864240577e-31,1,"Forest_disc_NLD50"
23,-0.938,0.3022,4.28326819631721e-30,1,"Forest_disc_NLD50"
23,-0.357,0.134,4.28326819631721e-30,1,"Forest_disc_NLD50"
23,-0.25,0.0891,4.28326819631721e-30,1,"Forest_disc_NLD50"
23,-0.244,4e-04,4.28326819631721e-30,1,"Forest_disc_NLD50"
23,-0.12,0.0839,4.28326819631721e-30,1,"Forest_disc_NLD50"
23,0.56,0.177,4.28326819631721e-30,1,"Forest_disc_NLD50"
23,0.724,0.0209,4.28326819631721e-30,1,"Forest_disc_NLD50"
23,0.758,0.0037,4.28326819631721e-30,1,"Forest_disc_NLD50"
23,0.767,0.0901,4.28326819631721e-30,1,"Forest_disc_NLD50"
23,0.768,0.0988,4.28326819631721e-30,1,"Forest_disc_NLD50"
24,-0.581545,0.0765,2.54222752659115e-32,1,"Forest_disc_NLD50"
24,-0.191561,0.002,2.54222752659115e-32,1,"Forest_disc_NLD50"
24,-0.175943,0.0054,2.54222752659115e-32,1,"Forest_disc_NLD50"
24,-0.00122,0.0255,2.54222752659115e-32,1,"Forest_disc_NLD50"
24,0.075185,0.2825,2.54222752659115e-32,1,"Forest_disc_NLD50"
24,0.410596,0.2149,2.54222752659115e-32,1,"Forest_disc_NLD50"
24,0.863165,0.3931,2.54222752659115e-32,1,"Forest_disc_NLD50"
25,-0.4032,0.4052,5.21927014928941e-32,1,"Forest_disc_NLD50"
25,0.05708,0.163,5.21927014928941e-32,1,"Forest_disc_NLD50"
25,0.28679,0.2721,5.21927014928941e-32,1,"Forest_disc_NLD50"
25,0.74621,0.0148,5.21927014928941e-32,1,"Forest_disc_NLD50"
25,0.87315,0.0194,5.21927014928941e-32,1,"Forest_disc_NLD50"
25,0.89517,0.1256,5.21927014928941e-32,1,"Forest_disc_NLD50"
26,-0.04027,2e-04,1.23259516440783e-32,1,"Forest_disc_NLD50"
26,-0.038,0.1548,1.23259516440783e-32,1,"Forest_disc_NLD50"
26,0.4585,0.0815,1.23259516440783e-32,1,"Forest_disc_NLD50"
26,0.48238,0.1163,1.23259516440783e-32,1,"Forest_disc_NLD50"
26,0.88529,0.1027,1.23259516440783e-32,1,"Forest_disc_NLD50"
26,0.99937,0.2288,1.23259516440783e-32,1,"Forest_disc_NLD50"
26,0.99993,0.1086,1.23259516440783e-32,1,"Forest_disc_NLD50"
26,0.99994,0.207,1.23259516440783e-32,1,"Forest_disc_NLD50"
27,-0.94299,0.0471,5.4042557204478e-30,1,"Forest_disc_NLD50"
27,-0.8906,0.1319,5.4042557204478e-30,1,"Forest_disc_NLD50"
27,-0.38295,0.0084,5.4042557204478e-30,1,"Forest_disc_NLD50"
27,-0.29457,0.1123,5.4042557204478e-30,1,"Forest_disc_NLD50"
27,0.00641,0.387,5.4042557204478e-30,1,"Forest_disc_NLD50"
27,0.38385,0.2003,5.4042557204478e-30,1,"Forest_disc_NLD50"
27,0.86389,0.1129,5.4042557204478e-30,1,"Forest_disc_NLD50"
28,-0.54598,0.1327,2.69399080620887e-30,1,"Forest_disc_NLD50"
28,0.04604,0.0192,2.69399080620887e-30,1,"Forest_disc_NLD50"
28,0.26743,0.1147,2.69399080620887e-30,1,"Forest_disc_NLD50"
28,0.28102,0.2068,2.69399080620887e-30,1,"Forest_disc_NLD50"
28,0.31132,0.0682,2.69399080620887e-30,1,"Forest_disc_NLD50"
28,0.31194,0.1636,2.69399080620887e-30,1,"Forest_disc_NLD50"
28,0.52496,0.1407,2.69399080620887e-30,1,"Forest_disc_NLD50"
28,0.98474,0.1541,2.69399080620887e-30,1,"Forest_disc_NLD50"
29,-0.62624,0.0634,2.62407954922761e-32,1,"Forest_disc_NLD50"
29,-0.19149,0.1176,2.62407954922761e-32,1,"Forest_disc_NLD50"
29,-0.11452,0.1409,2.62407954922761e-32,1,"Forest_disc_NLD50"
29,-0.10745,0.1067,2.62407954922761e-32,1,"Forest_disc_NLD50"
29,-9e-05,0.1887,2.62407954922761e-32,1,"Forest_disc_NLD50"
29,0.35072,0.1328,2.62407954922761e-32,1,"Forest_disc_NLD50"
29,0.59278,2e-04,2.62407954922761e-32,1,"Forest_disc_NLD50"
29,0.59881,0.1491,2.62407954922761e-32,1,"Forest_disc_NLD50"
29,0.61243,0.1006,2.62407954922761e-32,1,"Forest_disc_NLD50"
30,-0.8118,0.1419,3.15852510879507e-32,1,"Forest_disc_NLD50"
30,-0.4078,0.0103,3.15852510879507e-32,1,"Forest_disc_NLD50"
30,8e-04,0.5049,3.15852510879507e-32,1,"Forest_disc_NLD50"
30,0.811,0.3429,3.15852510879507e-32,1,"Forest_disc_NLD50"
31,-0.81078,0.1984,1.04058476377728e-29,1,"Forest_disc_NLD50"
31,-0.15006,0.1362,1.04058476377728e-29,1,"Forest_disc_NLD50"
31,0.08232,0.1569,1.04058476377728e-29,1,"Forest_disc_NLD50"
31,0.10213,0.1735,1.04058476377728e-29,1,"Forest_disc_NLD50"
31,0.77708,0.3349,1.04058476377728e-29,1,"Forest_disc_NLD50"
32,-0.223483,0.0285,2.1570415377137e-31,1,"Forest_disc_NLD50"
32,-0.218385,0.0748,2.1570415377137e-31,1,"Forest_disc_NLD50"
32,0.071145,0.0767,2.1570415377137e-31,1,"Forest_disc_NLD50"
32,0.186089,0.4362,2.1570415377137e-31,1,"Forest_disc_NLD50"
32,0.389029,0.0093,2.1570415377137e-31,1,"Forest_disc_NLD50"
32,0.401318,0.0135,2.1570415377137e-31,1,"Forest_disc_NLD50"
32,0.769797,0.0052,2.1570415377137e-31,1,"Forest_disc_NLD50"
32,0.848671,0.0164,2.1570415377137e-31,1,"Forest_disc_NLD50"
32,0.891164,0.3394,2.1570415377137e-31,1,"Forest_disc_NLD50"
33,-0.846,0.2096,1.24029888418538e-31,1,"Forest_disc_NLD50"
33,-0.0188,0.0591,1.24029888418538e-31,1,"Forest_disc_NLD50"
33,0.0119,0.1778,1.24029888418538e-31,1,"Forest_disc_NLD50"
33,0.6977,0.1745,1.24029888418538e-31,1,"Forest_disc_NLD50"
33,0.936,0.1578,1.24029888418538e-31,1,"Forest_disc_NLD50"
33,0.9454,0.2212,1.24029888418538e-31,1,"Forest_disc_NLD50"
2,-0.035,0.2265,1.38666955995881e-32,1,"Forest_disc_NLD100"
2,0.2027,0.0036,1.38666955995881e-32,1,"Forest_disc_NLD100"
2,0.2919,0.3981,1.38666955995881e-32,1,"Forest_disc_NLD100"
2,0.3168,0.0027,1.38666955995881e-32,1,"Forest_disc_NLD100"
2,0.4494,0.172,1.38666955995881e-32,1,"Forest_disc_NLD100"
2,0.8724,0.197,1.38666955995881e-32,1,"Forest_disc_NLD100"
3,-0.6275,0.2382,1.06552074173224e-29,1,"Forest_disc_NLD100"
3,-0.5274,0.0124,1.06552074173224e-29,1,"Forest_disc_NLD100"
3,-0.098,0.235,1.06552074173224e-29,1,"Forest_disc_NLD100"
3,0.1616,0.1575,1.06552074173224e-29,1,"Forest_disc_NLD100"
3,0.3006,0.1311,1.06552074173224e-29,1,"Forest_disc_NLD100"
3,0.7856,0.209,1.06552074173224e-29,1,"Forest_disc_NLD100"
3,0.8377,0.0167,1.06552074173224e-29,1,"Forest_disc_NLD100"
4,-0.2808,0.0887,8.85927774418128e-33,1,"Forest_disc_NLD100"
4,-0.047,0.0804,8.85927774418128e-33,1,"Forest_disc_NLD100"
4,-0.0073,0.1013,8.85927774418128e-33,1,"Forest_disc_NLD100"
4,0.0055,0.0048,8.85927774418128e-33,1,"Forest_disc_NLD100"
4,0.1919,0.571,8.85927774418128e-33,1,"Forest_disc_NLD100"
4,0.474,0.0602,8.85927774418128e-33,1,"Forest_disc_NLD100"
4,0.8909,0.0937,8.85927774418128e-33,1,"Forest_disc_NLD100"
5,-0.89104,0.048,1.5289777272558e-31,1,"Forest_disc_NLD100"
5,-0.47518,0.1775,1.5289777272558e-31,1,"Forest_disc_NLD100"
5,-0.08759,0.2524,1.5289777272558e-31,1,"Forest_disc_NLD100"
5,-0.06693,0.2998,1.5289777272558e-31,1,"Forest_disc_NLD100"
5,0.00151,0.0818,1.5289777272558e-31,1,"Forest_disc_NLD100"
5,0.51245,0.0012,1.5289777272558e-31,1,"Forest_disc_NLD100"
5,0.64612,0.1198,1.5289777272558e-31,1,"Forest_disc_NLD100"
5,0.83955,0.0193,1.5289777272558e-31,1,"Forest_disc_NLD100"
6,-0.00522,0.5593,9.62964972193618e-34,1,"Forest_disc_NLD100"
6,0.26192,0.0514,9.62964972193618e-34,1,"Forest_disc_NLD100"
6,0.55472,0.3007,9.62964972193618e-34,1,"Forest_disc_NLD100"
6,0.81084,0.002,9.62964972193618e-34,1,"Forest_disc_NLD100"
6,0.96644,0.0479,9.62964972193618e-34,1,"Forest_disc_NLD100"
6,0.97613,0.0351,9.62964972193618e-34,1,"Forest_disc_NLD100"
6,0.98975,0.003,9.62964972193618e-34,1,"Forest_disc_NLD100"
6,0.99323,5e-04,9.62964972193618e-34,1,"Forest_disc_NLD100"
7,-0.93508,0.2617,2.14548595804738e-30,1,"Forest_disc_NLD100"
7,-0.63865,0.0827,2.14548595804738e-30,1,"Forest_disc_NLD100"
7,-0.61929,0.106,2.14548595804738e-30,1,"Forest_disc_NLD100"
7,-0.45246,0.0018,2.14548595804738e-30,1,"Forest_disc_NLD100"
7,0.03344,0.2902,2.14548595804738e-30,1,"Forest_disc_NLD100"
7,0.15784,0.1378,2.14548595804738e-30,1,"Forest_disc_NLD100"
7,0.17099,0.0069,2.14548595804738e-30,1,"Forest_disc_NLD100"
7,0.8207,0.1129,2.14548595804738e-30,1,"Forest_disc_NLD100"
8,-0.3864,0.1201,2.65007960347684e-31,1,"Forest_disc_NLD100"
8,0.3705,0.3932,2.65007960347684e-31,1,"Forest_disc_NLD100"
8,0.8699,0.4451,2.65007960347684e-31,1,"Forest_disc_NLD100"
8,0.9615,4e-04,2.65007960347684e-31,1,"Forest_disc_NLD100"
8,0.9964,0.0411,2.65007960347684e-31,1,"Forest_disc_NLD100"
9,-0.74796,0.3218,1.31829904693306e-30,1,"Forest_disc_NLD100"
9,-0.67822,2e-04,1.31829904693306e-30,1,"Forest_disc_NLD100"
9,-0.07192,0.531,1.31829904693306e-30,1,"Forest_disc_NLD100"
9,0.73161,0.1469,1.31829904693306e-30,1,"Forest_disc_NLD100"
10,-0.8673,2e-04,1.16172094245438e-30,1,"Forest_disc_NLD100"
10,-0.8645,0.0608,1.16172094245438e-30,1,"Forest_disc_NLD100"
10,-0.7746,0.0524,1.16172094245438e-30,1,"Forest_disc_NLD100"
10,-0.1231,0.0196,1.16172094245438e-30,1,"Forest_disc_NLD100"
10,0.373,0.3955,1.16172094245438e-30,1,"Forest_disc_NLD100"
10,0.8747,0.4714,1.16172094245438e-30,1,"Forest_disc_NLD100"
11,-0.67538,0.0134,3.94093414870238e-31,1,"Forest_disc_NLD100"
11,-0.50197,0.1363,3.94093414870238e-31,1,"Forest_disc_NLD100"
11,-0.01585,0.001,3.94093414870238e-31,1,"Forest_disc_NLD100"
11,0.02082,0.3613,3.94093414870238e-31,1,"Forest_disc_NLD100"
11,0.11388,0.3762,3.94093414870238e-31,1,"Forest_disc_NLD100"
11,0.83617,0.1117,3.94093414870238e-31,1,"Forest_disc_NLD100"
12,-0.62025,0.0228,2.71170936169723e-31,1,"Forest_disc_NLD100"
12,-0.49415,6e-04,2.71170936169723e-31,1,"Forest_disc_NLD100"
12,-0.28435,0.0708,2.71170936169723e-31,1,"Forest_disc_NLD100"
12,0.13526,0.0642,2.71170936169723e-31,1,"Forest_disc_NLD100"
12,0.25332,0.072,2.71170936169723e-31,1,"Forest_disc_NLD100"
12,0.37359,0.2158,2.71170936169723e-31,1,"Forest_disc_NLD100"
12,0.37937,0.0757,2.71170936169723e-31,1,"Forest_disc_NLD100"
12,0.69083,0.0243,2.71170936169723e-31,1,"Forest_disc_NLD100"
12,0.78928,0.3973,2.71170936169723e-31,1,"Forest_disc_NLD100"
12,0.94213,0.0565,2.71170936169723e-31,1,"Forest_disc_NLD100"
13,-0.75274,0.086,5.11642097636082e-31,1,"Forest_disc_NLD100"
13,-0.63465,0.1377,5.11642097636082e-31,1,"Forest_disc_NLD100"
13,-0.46635,0.0816,5.11642097636082e-31,1,"Forest_disc_NLD100"
13,-0.37275,0.0042,5.11642097636082e-31,1,"Forest_disc_NLD100"
13,0.00157,0.1955,5.11642097636082e-31,1,"Forest_disc_NLD100"
13,0.02084,0.1176,5.11642097636082e-31,1,"Forest_disc_NLD100"
13,0.14796,0.1012,5.11642097636082e-31,1,"Forest_disc_NLD100"
13,0.19933,0.089,5.11642097636082e-31,1,"Forest_disc_NLD100"
13,0.72835,0.187,5.11642097636082e-31,1,"Forest_disc_NLD100"
14,-0.2127,0.1231,3.85185988877447e-33,1,"Forest_disc_NLD100"
14,0.0423,0.0649,3.85185988877447e-33,1,"Forest_disc_NLD100"
14,0.2013,0.18,3.85185988877447e-33,1,"Forest_disc_NLD100"
14,0.3215,0.0238,3.85185988877447e-33,1,"Forest_disc_NLD100"
14,0.4459,0.1325,3.85185988877447e-33,1,"Forest_disc_NLD100"
14,0.4571,0.0906,3.85185988877447e-33,1,"Forest_disc_NLD100"
14,0.7246,0.3851,3.85185988877447e-33,1,"Forest_disc_NLD100"
15,-0.7746,0.3246,6.98149604840373e-33,1,"Forest_disc_NLD100"
15,-0.4796,1e-04,6.98149604840373e-33,1,"Forest_disc_NLD100"
15,-0.1689,0.1849,6.98149604840373e-33,1,"Forest_disc_NLD100"
15,-0.1123,0.0523,6.98149604840373e-33,1,"Forest_disc_NLD100"
15,0.2592,0.1029,6.98149604840373e-33,1,"Forest_disc_NLD100"
15,0.2722,0.1137,6.98149604840373e-33,1,"Forest_disc_NLD100"
15,0.3334,0.0093,6.98149604840373e-33,1,"Forest_disc_NLD100"
15,0.3336,0.0605,6.98149604840373e-33,1,"Forest_disc_NLD100"
15,0.9555,0.1518,6.98149604840373e-33,1,"Forest_disc_NLD100"
16,-0.89292,0.0771,5.2177294053339e-30,1,"Forest_disc_NLD100"
16,-0.17245,0.0878,5.2177294053339e-30,1,"Forest_disc_NLD100"
16,0.06141,0.2468,5.2177294053339e-30,1,"Forest_disc_NLD100"
16,0.27852,0.1264,5.2177294053339e-30,1,"Forest_disc_NLD100"
16,0.33368,0.0897,5.2177294053339e-30,1,"Forest_disc_NLD100"
16,0.84122,0.3724,5.2177294053339e-30,1,"Forest_disc_NLD100"
17,-0.8585,0.2085,1.04641551668392e-29,1,"Forest_disc_NLD100"
17,-0.8581,0.0015,1.04641551668392e-29,1,"Forest_disc_NLD100"
17,-0.2779,0.5275,1.04641551668392e-29,1,"Forest_disc_NLD100"
17,0.6062,0.2626,1.04641551668392e-29,1,"Forest_disc_NLD100"
18,-0.41805,0.0923,3.70702995695655e-30,1,"Forest_disc_NLD100"
18,-0.26741,0.0641,3.70702995695655e-30,1,"Forest_disc_NLD100"
18,-0.05178,0.0307,3.70702995695655e-30,1,"Forest_disc_NLD100"
18,0.09261,0.3055,3.70702995695655e-30,1,"Forest_disc_NLD100"
18,0.60526,0.1903,3.70702995695655e-30,1,"Forest_disc_NLD100"
18,0.89502,0.1688,3.70702995695655e-30,1,"Forest_disc_NLD100"
18,0.97549,0.008,3.70702995695655e-30,1,"Forest_disc_NLD100"
18,0.99653,0.1403,3.70702995695655e-30,1,"Forest_disc_NLD100"
19,-0.76786,0.4102,7.72875686682598e-31,1,"Forest_disc_NLD100"
19,-0.3439,0.0252,7.72875686682598e-31,1,"Forest_disc_NLD100"
19,-0.03078,0.3894,7.72875686682598e-31,1,"Forest_disc_NLD100"
19,0.00237,0.0158,7.72875686682598e-31,1,"Forest_disc_NLD100"
19,0.32478,0.0429,7.72875686682598e-31,1,"Forest_disc_NLD100"
19,0.427,0.0063,7.72875686682598e-31,1,"Forest_disc_NLD100"
19,0.79594,0.015,7.72875686682598e-31,1,"Forest_disc_NLD100"
19,0.88083,0.0021,7.72875686682598e-31,1,"Forest_disc_NLD100"
19,0.94004,0.0881,7.72875686682598e-31,1,"Forest_disc_NLD100"
19,0.95687,0.005,7.72875686682598e-31,1,"Forest_disc_NLD100"
20,-0.671477,0.0578,5.52356708050259e-31,1,"Forest_disc_NLD100"
20,-0.413181,4e-04,5.52356708050259e-31,1,"Forest_disc_NLD100"
20,-0.178073,0.2114,5.52356708050259e-31,1,"Forest_disc_NLD100"
20,0.115182,0.0181,5.52356708050259e-31,1,"Forest_disc_NLD100"
