"data","disc_method","mean_NB_interval","std_NB_interval","SE_NB_interval","mean_exetimepervar","std_exetimepervar","SE_exetimepervar","mean_acc","std_acc","SE_acc","mean_F1","std_F1","SE_F1","mean_Kappa","std_Kappa","SE_Kappa"
"TRAIN","Chi2",32.324686099646,1.94073902291868,0.250548330503297,26.0346965332173,2.13528487053281,0.275664091432742,0.919073175562995,0.0498598940011618,0.00643688463700556,0.893868315000873,0.0665147873649484,0.00858702212469909,0.839568699611034,0.0961610765850867,0.0124143416055806
"TRAIN","ChiMerge",29.0438908615507,1.37240277463655,0.17717643634854,23.8204142555239,2.05274105670101,0.265007730889308,0.908143061960561,0.0496497006147914,0.00640974878750904,0.881895382546313,0.0654363241087108,0.00844779311700226,0.819944176029393,0.0952838771080789,0.0123010956400555
"TRAIN","ClusterDisc",2.97952380952381,0.00144062709739886,0.000185984158544031,0.00117068113205514,0.000659970910313879,8.52018781542334e-05,0.854895905126428,0.0587497376686035,0.00758455851948519,0.795478474414436,0.0711988359503322,0.00919173019683301,0.678434143489442,0.104541312022021,0.0134962253483987
"TRAIN","EqualLength",4.99285714285714,0.0072031354869944,0.000929920792720165,0.00167447297932036,0.000674087304846409,8.70242968519994e-05,0.857819763652627,0.0643710939683939,0.00831027249722474,0.789110583224779,0.0880752229120798,0.0113704623850664,0.670180035685835,0.122184886450764,0.0157740010127352
"TRAIN","ExtendedChi2",5.61897097887493,0.413159192123226,0.0533386223475255,28.2726183637391,2.58333714296099,0.333507391077566,0.857213476659662,0.050802818114757,0.00655861561662861,0.814196334433241,0.0717544925001037,0.00926346514894889,0.707806353955311,0.100403594204885,0.0129620482751629
"TRAIN","ForestDisc",6.76400945443446,0.713930702034548,0.0921680573108659,0.463390659530881,0.038729531965976,0.00499996107702109,0.881131180393167,0.0643030584789568,0.00830148915330672,0.832963350572197,0.099176683002042,0.0128036547199667,0.742838082149058,0.142870177065232,0.0184444605481116
"TRAIN","GLMDisc",2.82665314802157,0.246748912933499,0.0318551476828742,9.30464102161454,0.948998352123303,0.122515160445061,0.83002549807564,0.0652754674758894,0.00842702661500079,0.770418859948798,0.0839760938714008,0.0108412671014495,0.647870128002475,0.118614704828449,0.0153130925471964
"TRAIN","Infogain",3.05461108058608,0.0367472698551621,0.00474405213892109,0.104802921567082,0.00806403637136298,0.00104106261898332,0.863120665106067,0.054914977930855,0.0070894931661183,0.824099864213992,0.0710281468616462,0.00916969433023768,0.716221266454784,0.0984474529352525,0.0127095115231591
"TRAIN","Logreg",2.97728522588523,0.0324426456854243,0.00418832754821854,0.0108275083758829,0.00170586245595428,0.000220225896094381,0.85146077322064,0.0611641416352348,0.00789625673127787,0.799863359754281,0.0785561885583763,0.0101415603342707,0.675718838303729,0.108618884248602,0.0140226376592822
"TRAIN","MDLP",5.50338678346507,0.364544701523129,0.0470625185982411,0.431439193605014,0.0551126589442638,0.00711501367521143,0.852844599014163,0.051797379658989,0.00668701295988157,0.807808210928569,0.0732839834071402,0.00946092157598649,0.70269436885557,0.101673573917851,0.0131260019511076
"TRAIN","ModifiedChi2",4.28812831320726,0.32786131719732,0.0423267140456949,24.0730240986954,2.13720964340239,0.275912578541711,0.855394710385769,0.0508375176753895,0.00656309531064363,0.808885139337314,0.0703813188268932,0.0090861891900224,0.698467605953521,0.0992669095708166,0.0128153029199083
"TRAIN","Naive",3.2503003968254,0.0228492260576594,0.00294982239983478,0.00239938159108271,0.00065589230556029,8.46753325446863e-05,0.853886892650565,0.0590735401670264,0.00762636124228027,0.806624724289262,0.0787376671180084,0.0101649891155757,0.685390220223114,0.110372534680465,0.0142490329565381
"TRAIN","OneR",4.77361267854952,0.431976972670938,0.0557679873699879,0.0162083746769588,0.00553097655718364,0.000714046003141195,0.842119168216177,0.0653834726716749,0.00844097002582016,0.786328766896169,0.078531634636933,0.0101383904366429,0.681021450904522,0.107987841017415,0.0139411703284447
"TRAIN","QuantilDisc",4.78412738095238,0.0229480614000172,0.00296258198766706,0.00187131463950734,0.000822667347639611,0.000106205897895895,0.887703260064708,0.0647577488529443,0.00836018942817785,0.844520855857242,0.0892634611106808,0.0115238632768833,0.763965410578204,0.130104882876631,0.0167964681547153
"TRAIN","RDGR",3.85484411451122,0.130218919106915,0.0168111901687404,0.186659924322656,0.016078725052872,0.00207575447860071,0.871422605325248,0.0635355108698448,0.00820239918305631,0.822762712525599,0.0825491708099785,0.0106570521263426,0.727997040186044,0.12169787970647,0.015711128712397
"TRAIN","RSTGDH",2.61079085417507,0.048711922742947,0.0062886821848392,0.0144737090622,0.00143305426322101,0.000185006509855551,0.858199885906428,0.0549773372110443,0.00709754371457346,0.814967007306199,0.0728805870497936,0.00940884333018902,0.723180916571643,0.106338205520516,0.0137282033015513
"TRAIN","RSTLDH",2.97630576441103,0.0039073850746994,0.000504441244051007,0.00489848161259678,0.000833658789635103,0.000107624886955873,0.86380483341977,0.0588249669943582,0.00759427058367834,0.822630035901009,0.0765011538882298,0.00987625649915882,0.72793726135219,0.111587572862427,0.0144058937113296
"TRAIN","ScottEqualWidth",14.1098330288133,0.246691178719184,0.0318476942278559,0.00237776329076047,0.00136554535115125,0.000176291146783325,0.898152024384006,0.0591531796862404,0.0076366426600008,0.856439432644833,0.0857859757443959,0.01107492184654,0.776263029041029,0.128369248471479,0.0165723987165066
"TRAIN","cont",NA,NA,NA,0,0,0,0.90041944274989,0.0806089749320499,0.010406573915556,0.868063059147988,0.106928169901133,0.0138043673755842,0.795145168276702,0.163977800500744,0.0211694430162368
