"name","disc_method","data","mean_acc","mean_F1","mean_Kappa","diff_acc","relative_diff_acc","diff_F1","relative_diff_F1","diff_Kappa","relative_diff_Kappa"
"NEWTHYROID","AMEVA","TEST",0.91974358974359,0.884895132323531,0.823921643218413,-0.0176923076923079,-0.0188730853391687,-0.0224442541945543,-0.0247363384947766,-0.0362737205467378,-0.0399781174340268
"PAGEBLOCKS","AMEVA","TEST",0.957592367032075,0.744593425988207,0.779021684051502,0.00998781973203411,0.0105400715525183,0.005428199060312,0.00734368834268974,0.0212009375998424,0.0286822713345937
"PENBASED","AMEVA","TEST",0.893823232323232,0.893100962932493,0.882006190366901,-0.00519191919191864,-0.00577511867644106,-0.00489087641402552,-0.00544645975578651,-0.00577160780111829,-0.00642723858751141
"PHONEME","AMEVA","TEST",0.785081225580917,0.735810573686133,0.474291618240412,-0.0692062512852144,-0.0810104948969761,-0.0894030596549781,-0.108339290630724,-0.177124245158304,-0.214640473693056
"PIMA","AMEVA","TEST",0.753260869565218,0.720422532059697,0.442777736092036,-0.022391304347826,-0.0288677130044842,-0.0257108853296326,-0.0344588309951232,-0.0507582725940477,-0.0680284134326102
"SAT","AMEVA","TEST",0.855880829015544,0.829991511199762,0.822441914426613,-0.00130397236614821,-0.00152122665269653,0.000930362912275773,0.00112218853120489,-0.00157040786338769,-0.00189420028502305
"SEGMENTATION","AMEVA","TEST",0.921043771043771,0.919455898074836,0.907884399551066,0.0171717171717173,0.0189979512013412,0.0201974915104604,0.0224601642453642,0.0200336700336697,0.0222779902722384
"SPAMBASE","AMEVA","TEST",0.932644927536232,0.928945850777684,0.857960844095888,0.0307487922705313,0.0340934959893942,0.0299341425987002,0.0332967216404045,0.0543720711734209,0.0604798254335927
"SPECTFHEART","AMEVA","TEST",0.822427983539094,0.694592392244013,0.401196835043772,0.0207818930041151,0.025924024640657,0.042304937063288,0.0648562788189247,0.0638576341358247,0.0978979951686057
"TAE","AMEVA","TEST",0.506521739130435,0.497327859723676,0.26039800621726,-0.0862318840579711,-0.145476772616137,-0.087721105758763,-0.149938058067374,-0.129047439894199,-0.220575451813311
"TEXTURE","AMEVA","TEST",0.86510101010101,0.863372189115804,0.851611111111111,-0.00344444444444425,-0.00396576186821088,-0.00338391576907815,-0.00390411529841787,-0.00378888888888917,-0.00437134375810644
"THYROID","AMEVA","TEST",0.988804012345679,0.941479596753592,0.92146015728263,0.0140895061728395,0.0144550081932823,0.101049874670904,0.120235960266244,0.168853150697777,0.200912873808578
"TITANIC","AMEVA","TEST",0.774924242424243,0.709028497414982,0.437131741341061,-0.0070959595959591,-0.00907388271764339,-0.00109588367459212,-0.00154322778343515,-0.000803332652693556,-0.00113125626170019
"VEHICLE","AMEVA","TEST",0.712204724409448,0.705659270829438,0.616593113006692,-0.00380577427821549,-0.00531524926686254,-0.00371298939693399,-0.00523419029065093,-0.0054774773761167,-0.00772158383296345
"VERTEBRAL","AMEVA","TEST",0.818279569892473,0.77078060128055,0.70885297871123,-0.0254480286738352,-0.0301614273576891,-0.0331415068960305,-0.0412247735930543,-0.0404465758499208,-0.0503115605834749
"WAVE","AMEVA","TEST",0.814033333333333,0.812730979971602,0.721063195136244,-0.0138111111111113,-0.0166832201433444,-0.0132751887485482,-0.0160715370553677,-0.0206923135440429,-0.0250510399651185
"WDBC","AMEVA","TEST",0.95214424951267,0.948907564210978,0.897858501240025,-0.00428849902534101,-0.00448384795679189,-0.00451300647833885,-0.00473348972854234,-0.00902346737922888,-0.00946430951526981
"WILT","AMEVA","TEST",0.931415116011945,0.723367397127895,0.462579800476542,-0.0350562830232026,-0.0362724474394174,-0.128779487015938,-0.151123579059172,-0.243196218796471,-0.285392369932579
"WINE","AMEVA","TEST",0.944025157232705,0.944387231380351,0.914869205886965,-0.0135220125786161,-0.0141215106732345,-0.0135153064933549,-0.0141092709946832,-0.0203310567286948,-0.0212245567005433
"WIRELESS","AMEVA","TEST",0.970027777777778,0.970078181176411,0.960037037037038,-0.00955555555555554,-0.00975471430596907,-0.00950170560939745,-0.00969977613625203,-0.0127407407407403,-0.0130063315025231
"WISCONSIN","AMEVA","TEST",0.964308943089431,0.960999179586171,0.922024047584393,0.00130081300812979,0.0013507809202192,0.00135696485851133,0.00141403206078886,0.00269074746791431,0.00280390694221172
"YEAST","AMEVA","TEST",0.528576779026217,0.424988554868327,0.413451082462224,-0.0304119850187267,-0.0544053601340035,-0.0603218628501166,-0.124295421338169,-0.0393451633813958,-0.0810721590654627
"APPENDICITIS","CACC","TEST",0.821875,0.718990337162827,0.463691885301487,-0.0473958333333333,-0.054523666866387,-0.0554447835069445,-0.0715938392088842,-0.0905333216525243,-0.116902396645217
"AUSTRA","CACC","TEST",0.863526570048309,0.861384609875833,0.723279362776083,0.0177938808373591,0.0210396039603961,0.0235549986186263,0.0281143066587021,0.0405192347551507,0.0483621421476731
"AUTOS","CACC","TEST",0.700268817204301,0.624301458897577,0.597144961848908,0.0411290322580651,0.0623980424143565,0.0481278478858461,0.0835301148230932,0.0582468076144768,0.101092459809463
"BALANCE","CACC","TEST",0.773618538324421,0.542576911141125,0.581588972975651,-0.0783422459893051,-0.0919552254419921,-0.0816854614887232,-0.130851169428336,-0.148041216027223,-0.237145826046772
"BANANA","CACC","TEST",0.730733752620545,0.723419639317346,0.451468989864075,-0.117882599580713,-0.138911534375849,-0.115531980316029,-0.137709943711077,-0.235086427080344,-0.280214522004353
"BANDS","CACC","TEST",0.745556101824538,0.730484277283722,0.466823398533623,0.0110910812484066,0.0151008978476695,0.00883296051336635,0.0122399284919162,0.0101906286640638,0.0141212638669745
"BANKNOTE","CACC","TEST",0.899797734627832,0.896776917074268,0.794605941027388,-0.064886731391586,-0.0672621294083115,-0.0672471874810857,-0.0697567489892826,-0.133503886541211,-0.138486046054614
"BRCANCER","CACC","TEST",0.642380952380952,0.622924490212684,0.270274015125674,-0.079047619047619,-0.10957095709571,-0.0936398894680702,-0.130678962174744,-0.172327234988413,-0.240490931275692
"BUPA","CACC","TEST",0.651618122977346,0.634987971895629,0.27491810755954,-0.038834951456311,-0.0562456058120464,-0.0417717861824459,-0.0617232122386728,-0.0921623386931243,-0.13618176552763
"CLEVELAND","CACC","TEST",0.585144927536232,0.357805526734237,0.305562922771182,-0.0221014492753622,-0.036396181384248,-0.0293843058810536,-0.0758912125418585,-0.0582898455279123,-0.150545909571517
"CMC","CACC","TEST",0.539140271493213,0.517560606142953,0.304491120649744,-0.0210784313725486,-0.0376253617823241,-0.0254831712797109,-0.0469265505640381,-0.0301939923650647,-0.0556013964626723
"CRX","CACC","TEST",0.871900161030596,0.870277683923413,0.740969926886491,0.0269726247987119,0.031923003621117,0.0350751494989422,0.0419959806792398,0.0604837053468201,0.0724180098285966
"CRYOTHERAPY","CACC","TEST",0.839506172839506,0.836899230217092,0.677864006391014,0.0240740740740742,0.0295230885692659,0.0264002144385131,0.032572790249662,0.0494640104515919,0.0610290814530798
"DERMA","CACC","TEST",0.942042042042042,0.927222084067904,0.927110162840739,0.0132132132132132,0.0142256708697058,0.00978988781974655,0.010670966050442,0.0176934834870334,0.0192858759038444
"ECOLI","CACC","TEST",0.782516339869281,0.521862320124644,0.702707719397112,-0.0065359477124185,-0.00828328846552106,-0.0122952977384433,-0.0230181080027108,-0.0112267929961979,-0.0210177532263061
"GERMAN","CACC","TEST",0.765833333333333,0.691743389735412,0.39248422940351,-0.00961111111111135,-0.0123943258346471,-0.0104184870168433,-0.0148377281105498,-0.0205674840879003,-0.0292916559113579
"HABERMAN","CACC","TEST",0.714835164835165,0.573945811132334,0.17074129152279,-0.0166666666666665,-0.0227841762643964,-0.0255228130271704,-0.0425757279006138,-0.0465622325396592,-0.0776725097246626
"HAYES","CACC","TEST",0.795035460992908,0.808266505514441,0.673548644807636,0.0294326241134749,0.0384437239462711,0.0288293355893681,0.0369873758934789,0.0469688160029691,0.060259912941391
"HEART","CACC","TEST",0.811316872427983,0.80745720512512,0.616334290116395,-0.0117283950617286,-0.0142500000000003,-0.00982367373240589,-0.0120199480821555,-0.0224778186689157,-0.0275031745516149
"HEPATISIS","CACC","TEST",0.822695035460994,0.704463590783671,0.418596822022391,-0.0294326241134754,-0.0345401581356639,-0.0556090982193729,-0.0731628685307889,-0.105818349518059,-0.139221354811283
"HORSECOLIC","CACC","TEST",0.840690690690691,0.827623159035718,0.656112381517304,-0.00450450450450468,-0.00532954343577921,0.00128813676794859,0.00155885534708848,-0.00320481196002886,-0.00387834458623534
"HYPOTHYROID","CACC","TEST",0.983719704952581,0.905063601725265,0.810192939958863,-0.000842992623814598,-0.00085621019960406,-0.00468059960924883,-0.00514496228982037,-0.00939665664511147,-0.0103288997405286
"IMMUNOTHERAPY","CACC","TEST",0.77283950617284,0.608933701831867,0.246407174718668,-0.0283950617283952,-0.0354391371340526,-0.0178305705319241,-0.0284486071049926,-0.0444217349762903,-0.0708747082994334
"INDIAN","CACC","TEST",0.729619047619048,0.638866466581182,0.288054029570203,0.0193333333333336,0.0272190935907755,0.0350825979508317,0.0581045631947978,0.0287667829935104,0.0476441728374862
"ION","CACC","TEST",0.91,0.901270864972743,0.802870563105919,0.0071428571428569,0.00791139240506302,0.00720777292868569,0.00806181688163289,0.0131213522759727,0.0146760920932033
"IRIS","CACC","TEST",0.933703703703704,0.9333996623321,0.900555555555556,-0.00962962962962965,-0.0102080879466039,-0.00970689264545221,-0.0102924665237676,-0.0144444444444441,-0.0153158138581573
"MAMMOGRAPHIC","CACC","TEST",0.821064814814815,0.819780054722895,0.640481717072629,-0.000578703703703831,-0.000704324552754064,-0.000934164303651008,-0.00113823336064413,-0.00150757427700665,-0.00183690527354917
"MUTAGENESIS","CACC","TEST",0.729175257731959,0.664472849154822,0.342509211061457,-0.0399999999999999,-0.0520037528481436,-0.0171430731318539,-0.0251506347949481,-0.0572208434080703,-0.0839488068531418
"NEWTHYROID","CACC","TEST",0.919230769230769,0.884314972492519,0.82282023340084,-0.0182051282051283,-0.0194201312910286,-0.0230244140255665,-0.0253757462396984,-0.0373751303643112,-0.0411920070038381
"PAGEBLOCKS","CACC","TEST",0.957764920828258,0.744664659421707,0.779973044301889,0.0101603735282177,0.0107221662846249,0.00549943249381191,0.00744005845170578,0.0221522978502297,0.0299693452062114
"PENBASED","CACC","TEST",0.89390404040404,0.89317957875733,0.882095994410084,-0.00511111111111062,-0.00568523356085449,-0.00481226058918849,-0.00535891349824564,-0.00568180375793592,-0.00632723317627324
"PHONEME","CACC","TEST",0.790129549660703,0.742450228135613,0.487417343141883,-0.0641579272054287,-0.0751010976314269,-0.0827634052054976,-0.100293308134533,-0.163998520256834,-0.198734622927689
"PIMA","CACC","TEST",0.753985507246377,0.721177952874462,0.44425661022132,-0.0216666666666666,-0.0279334828101643,-0.0249554645148676,-0.033446383626919,-0.0492793984647641,-0.0660463629107907
"SAT","CACC","TEST",0.855690846286701,0.829713976103786,0.82220311550868,-0.00149395509499095,-0.00174286232395027,0.000652827816300161,0.000787430236778851,-0.00180920678132113,-0.00218223563492058
"SEGMENTATION","CACC","TEST",0.921789321789322,0.920302702985286,0.908754208754208,0.017917267917268,0.0198227922198867,0.0210442964209108,0.0234018345197469,0.0209034792368122,0.0232452419507249
"SPAMBASE","CACC","TEST",0.932137681159421,0.928401716401567,0.856874811395641,0.0302415458937201,0.0335310738246049,0.0293900082225829,0.0326914632537039,0.0532860384731737,0.0592717958936359
"SPECTFHEART","CACC","TEST",0.810905349794239,0.648255953461008,0.320591895853755,0.0092592592592593,0.0115503080082136,-0.00403150171971722,-0.00618055994745482,-0.016747305054192,-0.0256747311651914
"TAE","CACC","TEST",0.556159420289855,0.549997732309743,0.333523885834168,-0.0365942028985509,-0.0617359413202936,-0.0350512331726957,-0.0599116231985676,-0.0559215602772918,-0.0955844101547606
"TEXTURE","CACC","TEST",0.865171717171717,0.863443444434815,0.851688888888889,-0.00337373737373714,-0.00388435326681061,-0.00331266045006662,-0.00382190610645493,-0.00371111111111122,-0.00428160942876095
"THYROID","CACC","TEST",0.988927469135803,0.941466235828729,0.92197571488175,0.0142129629629628,0.014581667629806,0.101036513746042,0.120220062536176,0.169368708296897,0.201526319032578
"TITANIC","CACC","TEST",0.774823232323233,0.709651078024786,0.437835303452888,-0.00719696969696926,-0.00920304830793021,-0.000473303064787989,-0.000666507273080498,-9.97705408657401e-05,-0.000140497275579607
"VEHICLE","CACC","TEST",0.719619422572178,0.713492954375587,0.626407857215377,0.0036089238845145,0.00504032258064526,0.00412069414921512,0.00580893048721716,0.00433726683256797,0.00611423236536466
"VERTEBRAL","CACC","TEST",0.809498207885305,0.756718518856262,0.693488236535107,-0.0342293906810038,-0.0405692438402722,-0.0472035893203185,-0.0587166204787969,-0.0558113180260438,-0.069423788024231
"WAVE","CACC","TEST",0.812933333333333,0.81157739889143,0.71941635143669,-0.0149111111111111,-0.0180119721901592,-0.0144287698287203,-0.0174681138896055,-0.0223391572435968,-0.0270447825809946
"WDBC","CACC","TEST",0.949610136452241,0.946373728784183,0.892827317344429,-0.00682261208577006,-0.00713339447671465,-0.00704684190513449,-0.00739111586405113,-0.0140546512748247,-0.0147412922553825
"WILT","CACC","TEST",0.940179186767747,0.729292328197729,0.469401500065182,-0.0262922122674015,-0.0272043355795626,-0.122854555946104,-0.144170633293506,-0.236374519207831,-0.277387060383752
"WINE","CACC","TEST",0.939308176100629,0.939744990752198,0.907745539902848,-0.0182389937106915,-0.0190476190476187,-0.0181575471215077,-0.0189555266883547,-0.0274547227128112,-0.0286612902955175
"WIRELESS","CACC","TEST",0.970305555555556,0.970351632198881,0.960407407407408,-0.00927777777777761,-0.0094711470296326,-0.00922825458692744,-0.00942062481213976,-0.0123703703703703,-0.0126282404704734
"WISCONSIN","CACC","TEST",0.964390243902439,0.961079333281021,0.922183881215328,0.00138211382113795,0.00143520472773295,0.00143711855336104,0.00149755662194257,0.00285058109884917,0.00297046238181398
"YEAST","CACC","TEST",0.526441947565543,0.429874905149984,0.411091972448894,-0.0325468164794008,-0.0582244556113904,-0.05543551256846,-0.114226916514743,-0.0417042733947258,-0.0859331921840606
"APPENDICITIS","CAIM","TEST",0.838020833333333,0.739534400910134,0.504422192200004,-0.03125,-0.0359496704613541,-0.0349007197596383,-0.0450660343625097,-0.0498030147540076,-0.064308827718112
"AUSTRA","CAIM","TEST",0.866666666666667,0.864547433581771,0.729555630756661,0.0209339774557165,0.0247524752475246,0.0267178223245644,0.0318893268578476,0.0467955027357287,0.0558532452266872
"AUTOS","CAIM","TEST",0.702150537634409,0.612879801891502,0.604795194370184,0.0430107526881727,0.065252854812399,0.0367061908797703,0.0637068240860878,0.0658970401357521,0.114370111501706
"BALANCE","CAIM","TEST",0.773440285204991,0.542212831642393,0.581304225792203,-0.0785204991087346,-0.0921644523485722,-0.0820495409874562,-0.131434384939466,-0.148325963210671,-0.237601959871158
"BANANA","CAIM","TEST",0.623417190775682,0.547084463986391,0.194549246364538,-0.225199161425576,-0.265372168284789,-0.291867155646984,-0.347895097663118,-0.492006170579881,-0.586453567840884
"BANDS","CAIM","TEST",0.720222877745002,0.705916794625835,0.417489823650016,-0.0142421428311298,-0.0193911792013702,-0.0157345221445208,-0.0218034967564922,-0.0391429462195427,-0.054240802046508
"BANKNOTE","CAIM","TEST",0.843527508090615,0.820395167812902,0.668539084913239,-0.121156957928803,-0.125592317691953,-0.143628936742451,-0.148988947541616,-0.25957074265536,-0.269257523156109
"BRCANCER","CAIM","TEST",0.702380952380953,0.691245587889811,0.395639559576287,-0.0190476190476189,-0.0264026402640262,-0.0253187917909432,-0.0353335897079106,-0.0469616905377997,-0.0655372941629087
"BUPA","CAIM","TEST",0.645631067961165,0.617497997077159,0.251089980939814,-0.0448220064724922,-0.0649168033747368,-0.0592617610009157,-0.0875669102566216,-0.11599046531285,-0.171390901909195
"CLEVELAND","CAIM","TEST",0.60036231884058,0.384338272188835,0.351340363990074,-0.00688405797101421,-0.011336515513126,-0.00285156042645562,-0.00736476060643079,-0.0125124043090209,-0.0323159423492743
"CMC","CAIM","TEST",0.52975113122172,0.50370041254523,0.286581532945574,-0.0304675716440417,-0.0543851383186367,-0.039343364877434,-0.0724497112629873,-0.048103580069235,-0.0885814036900286
"CRX","CAIM","TEST",0.876650563607085,0.875127949992542,0.750600619182528,0.0317230273752016,0.0375452639603587,0.0399254155680714,0.0478032739634627,0.070114397642857,0.083948976150045
"CRYOTHERAPY","CAIM","TEST",0.800617283950617,0.7974230521452,0.600253920697131,-0.0148148148148148,-0.0181680545041635,-0.013075963633379,-0.0161332258014133,-0.0281460752422913,-0.0347268469107932
"DERMA","CAIM","TEST",0.944444444444445,0.930382289960762,0.930122204800292,0.0156156156156156,0.0168121564823796,0.0129500937126047,0.0141155867055507,0.0207055254465865,0.0225689980483156
"ECOLI","CAIM","TEST",0.785294117647059,0.536737699851143,0.707875636337787,-0.00375816993464051,-0.00476289086767445,0.00258008198805615,0.00483018850948497,-0.00605887605552224,-0.0113428618312343
"GERMAN","CAIM","TEST",0.765,0.688401497527533,0.386256333099118,-0.0104444444444444,-0.0134689783636623,-0.0137603792247215,-0.0195971608261731,-0.026795380392292,-0.0381612577946129
"HABERMAN","CAIM","TEST",0.735164835164835,0.562211898271609,0.167890839040574,0.00366300366300387,0.00500751126690064,-0.0372567258878953,-0.0621495844592897,-0.0494126850218759,-0.0824274749844595
"HAYES","CAIM","TEST",0.790070921985816,0.804491360579429,0.665861530274582,0.0244680851063828,0.0319592403890687,0.0250541906543561,0.0321439515859432,0.0392817014699155,0.0503975214239419
"HEART","CAIM","TEST",0.827777777777778,0.8243188009276,0.64971449833223,0.00473251028806565,0.00574999999999976,0.00703792207007436,0.00861138716460937,0.0109023895469187,0.0133398319096356
"HEPATISIS","CAIM","TEST",0.850354609929079,0.763647946432302,0.531377611013115,-0.00177304964539016,-0.00208073241781117,0.00357525742925757,0.00470383620012329,0.00696243947266562,0.00916022845367324
"HORSECOLIC","CAIM","TEST",0.846846846846847,0.834144320459019,0.669085087851038,0.00165165165165149,0.00195416592645211,0.00780929819124931,0.0094505230697081,0.00976789437370484,0.011820743536802
"HYPOTHYROID","CAIM","TEST",0.974762908324552,0.864904355566298,0.73086283637691,-0.00979978925184377,-0.00995344357039626,-0.0448398457682156,-0.049288410635033,-0.0887267602270648,-0.0975293495654169
"IMMUNOTHERAPY","CAIM","TEST",0.811728395061729,0.660785559733837,0.350730311266519,0.0104938271604941,0.0130970724191066,0.0340212873700462,0.0542808339118272,0.0599014015715608,0.0955724571626386
"INDIAN","CAIM","TEST",0.720857142857143,0.607901292282667,0.23927782756317,0.0105714285714288,0.0148833467417541,0.00411742365231671,0.00681936677383723,-0.0200094190135225,-0.0331400357861709
"ION","CAIM","TEST",0.913174603174603,0.905424197740808,0.811266554454103,0.0103174603174601,0.0114275668073134,0.0113611056967503,0.0127072751328722,0.0215173436241569,0.0240669185604818
"IRIS","CAIM","TEST",0.935925925925926,0.935665558545424,0.903888888888889,-0.00740740740740786,-0.0078523753435419,-0.00744099643212803,-0.00788987881894761,-0.0111111111111112,-0.0117813952755059
"MAMMOGRAPHIC","CAIM","TEST",0.815914351851852,0.814408657375638,0.63005655349247,-0.00572916666666656,-0.00697281307226357,-0.00630556165090723,-0.00768301743131281,-0.0119327378571661,-0.0145394554895364
"MUTAGENESIS","CAIM","TEST",0.687010309278351,0.506605803992116,0.120286740621884,-0.0821649484536079,-0.106822141804047,-0.17501011829456,-0.256757673305868,-0.279443313847644,-0.409971810679203
"NEWTHYROID","CAIM","TEST",0.918717948717948,0.884505351206484,0.822015237405546,-0.0187179487179493,-0.019967177242889,-0.0228340353116016,-0.025165925397802,-0.0381801263596042,-0.0420792119541073
"PAGEBLOCKS","CAIM","TEST",0.95466910272026,0.718452137777909,0.765613350309579,0.00706455542021911,0.00745517256153717,-0.0207130891499865,-0.0280222721462072,0.00779260385791936,0.0105424383805321
"PENBASED","CAIM","TEST",0.892090909090909,0.891491090074794,0.880083913446847,-0.00692424242424206,-0.00770203084182988,-0.00650074927172517,-0.00723920751491,-0.00769388472117238,-0.0085678782189951
"PHONEME","CAIM","TEST",0.783014600041127,0.730649110355103,0.46569044151576,-0.0712728768250047,-0.0834296167918347,-0.0945645229860076,-0.114593990168505,-0.185725421882957,-0.225063443427364
"PIMA","CAIM","TEST",0.733768115942029,0.686821333540994,0.382806382175671,-0.0418840579710145,-0.053998505231689,-0.0593120838483362,-0.0794925980609006,-0.110729626510413,-0.148404593508019
"SAT","CAIM","TEST",0.855397236614853,0.829666036035049,0.821835043887183,-0.00178756476683939,-0.00208539017952491,0.000604887747563065,0.000729605709799,-0.00217727840281834,-0.0026261976059495
"SEGMENTATION","CAIM","TEST",0.91988936988937,0.918247040717877,0.906537598204264,0.0160173160173157,0.0177207780113346,0.0189886341535023,0.021115881725308,0.0186868686868682,0.0207803102539364
"SPAMBASE","CAIM","TEST",0.931316425120773,0.927504445523117,0.855090466610258,0.0294202898550722,0.0326204855578019,0.0284927373441324,0.0316933996353024,0.0515016936877903,0.0572870110803239
"SPECTFHEART","CAIM","TEST",0.815432098765432,0.695581127800605,0.399927504630901,0.0137860082304526,0.0171971252566734,0.0432936726198795,0.0663720761085071,0.0625883037229535,0.0959520273245369
"TAE","CAIM","TEST",0.49963768115942,0.489294121924256,0.250419480494589,-0.0931159420289857,-0.157090464547678,-0.0957548435581833,-0.163669793825244,-0.139025965616871,-0.237631333135045
"TEXTURE","CAIM","TEST",0.862171717171717,0.860391831219724,0.848388888888889,-0.00637373737373714,-0.00733840392622028,-0.00636427366515813,-0.00734263494573643,-0.00701111111111097,-0.0080889088309821
"THYROID","CAIM","TEST",0.985270061728395,0.907560111633402,0.896287838292678,0.0105555555555553,0.0108293818227874,0.0671303895507149,0.0798762678030444,0.143680831707825,0.170961149912411
"TITANIC","CAIM","TEST",0.7714898989899,0.70936201829327,0.434809694719206,-0.0105303030303023,-0.0134655127873926,-0.000762362796304039,-0.00107356234570388,-0.00312537927454826,-0.00440117162257245
