"var","nsplits","optim_value","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","score","uniq_split","iter","forest"
2,8,4.41124898588086e-09,41.4,64.7,77.5,62.9,61.8,53.8,48.1,69.8,NA,NA,0.283,0.1642,0.141,0.1333,0.1301,0.0787,0.0595,0.0101,NA,NA,0.00441124898588086,8,1,"Forest_disc_NLD50"
2,9,7.22655538967866e-09,42.1,70.7,76.7,58.4,65.6,59.6,56.2,44.4,62.9,NA,0.3004,0.1323,0.1192,0.1184,0.1078,0.0961,0.0888,0.037,0,NA,0.00722655538967865,8,1,"Forest_disc_NLD50"
2,10,1.58469968253409e-31,59,38.8,79.7,64.2,76.1,77.5,78.4,60.5,42.7,67.5,0.5339,0.2237,0.0585,0.0393,0.0387,0.0328,0.0278,0.0257,0.0151,0.0045,1.58469968253409e-23,10,1,"Forest_disc_NLD50"
3,2,1.01703322699931e-07,1.7,3.4,NA,NA,NA,NA,NA,NA,NA,NA,0.5023,0.4977,NA,NA,NA,NA,NA,NA,NA,NA,1.01703322699931e-07,2,1,"Forest_disc_NLD50"
3,3,4.7618903502082e-31,3.5,1.5,2.5,NA,NA,NA,NA,NA,NA,NA,0.3503,0.3304,0.3193,NA,NA,NA,NA,NA,NA,NA,4.7618903502082e-30,3,1,"Forest_disc_NLD50"
3,4,3.25234233733643e-09,3.5,2.6,1.5,1.7,NA,NA,NA,NA,NA,NA,0.3464,0.2731,0.2276,0.1529,NA,NA,NA,NA,NA,NA,3.25234233733643e-07,4,1,"Forest_disc_NLD50"
3,5,3.93828252787437e-08,3.4,1.7,2.5,1.5,3.5,NA,NA,NA,NA,NA,0.4013,0.3715,0.1458,0.0529,0.0285,NA,NA,NA,NA,NA,3.93828252787437e-05,5,1,"Forest_disc_NLD50"
3,6,4.55202568182702e-08,3.4,1.7,1.5,2.1,2.9,1.5,NA,NA,NA,NA,0.4188,0.2666,0.1277,0.0877,0.0832,0.0159,NA,NA,NA,NA,4.55202568182702e-05,5,1,"Forest_disc_NLD50"
3,7,3.72583540092585e-08,1.6,3.4,2.7,2.5,1.7,1.5,1.5,NA,NA,NA,0.421,0.4043,0.1012,0.0672,0.0049,0.0013,0,NA,NA,NA,0.000372583540092585,6,1,"Forest_disc_NLD50"
3,8,2.41389156029218e-08,1.6,3.5,2.8,2.2,2.5,3.2,3,2.8,NA,NA,0.3813,0.3668,0.119,0.097,0.0182,0.0143,0.0033,1e-04,NA,NA,0.00241389156029218,7,1,"Forest_disc_NLD50"
3,9,5.31908973679705e-08,3.4,1.7,1.5,1.8,1.8,2.9,3,2.9,1.9,NA,0.388,0.1702,0.1375,0.1126,0.0631,0.0542,0.0442,0.0301,1e-04,NA,0.00531908973679705,7,1,"Forest_disc_NLD50"
3,10,1.38242949477659e-08,3.5,1.5,2.6,1.5,1.9,2.9,1.7,1.8,2.5,1.8,0.3638,0.1412,0.1224,0.089,0.0788,0.0619,0.0615,0.0321,0.0271,0.0222,0.0138242949477659,8,1,"Forest_disc_NLD50"
4,2,2.51377409033933e-07,4.2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,0.5598,0.4402,NA,NA,NA,NA,NA,NA,NA,NA,2.51377409033933e-07,2,1,"Forest_disc_NLD50"
4,3,1.05689677455499e-08,4.3,2.9,1.6,NA,NA,NA,NA,NA,NA,NA,0.4373,0.3727,0.1899,NA,NA,NA,NA,NA,NA,NA,1.05689677455499e-07,3,1,"Forest_disc_NLD50"
4,4,6.55530900880358e-16,4.4,2.6,3.4,1.5,NA,NA,NA,NA,NA,NA,0.3753,0.2771,0.1954,0.1521,NA,NA,NA,NA,NA,NA,6.55530900880358e-14,4,1,"Forest_disc_NLD50"
4,5,1.01044688045927e-07,4.3,1.9,2.7,3.3,2.9,NA,NA,NA,NA,NA,0.4593,0.2838,0.1298,0.1236,0.0036,NA,NA,NA,NA,NA,0.000101044688045927,5,1,"Forest_disc_NLD50"
4,6,5.3244205692077e-08,1.9,4,4.5,3,3.4,2.2,NA,NA,NA,NA,0.3045,0.2652,0.2269,0.1511,0.0484,0.0039,NA,NA,NA,NA,0.000532442056920769,6,1,"Forest_disc_NLD50"
4,7,8.64318170083351e-09,4.3,2.5,1.5,3.2,2.8,4.1,3.4,NA,NA,NA,0.4058,0.1974,0.1404,0.1244,0.1032,0.0287,2e-04,NA,NA,NA,0.000864318170083351,7,1,"Forest_disc_NLD50"
4,8,8.24318415359469e-08,4.3,2.4,1.5,1.7,3.2,3.4,3.7,2.9,NA,NA,0.4834,0.3375,0.0664,0.0394,0.0281,0.0236,0.0212,3e-04,NA,NA,0.0824318415359469,8,1,"Forest_disc_NLD50"
4,9,2.52094506983568e-08,4.3,2.6,1.5,2.4,3.2,1.5,1.5,1.8,1.5,NA,0.4718,0.3097,0.0436,0.0416,0.0323,0.0293,0.027,0.0246,0.0203,NA,0.000252094506983568,6,1,"Forest_disc_NLD50"
4,10,3.11848020228147e-08,4.3,2.6,1.5,2.4,3.4,3.6,2.8,3.7,3.5,2.1,0.4646,0.2951,0.1208,0.0563,0.0295,0.0159,0.0127,0.005,0,0,0.0311848020228147,8,1,"Forest_disc_NLD50"
5,2,4.65984339406808e-08,2.1,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.5486,0.4514,NA,NA,NA,NA,NA,NA,NA,NA,4.65984339406808e-08,2,1,"Forest_disc_NLD50"
5,3,2.65928426247419e-09,2.5,3.5,1.8,NA,NA,NA,NA,NA,NA,NA,0.5382,0.2856,0.1761,NA,NA,NA,NA,NA,NA,NA,2.65928426247419e-08,3,1,"Forest_disc_NLD50"
5,4,2.78756033360002e-08,2.2,3.4,1.6,1.7,NA,NA,NA,NA,NA,NA,0.5366,0.4191,0.0443,0,NA,NA,NA,NA,NA,NA,2.78756033360002e-07,3,1,"Forest_disc_NLD50"
5,5,1.66376493202253e-08,3.4,2.6,2.2,1.8,2.6,NA,NA,NA,NA,NA,0.3429,0.2876,0.2073,0.1619,3e-04,NA,NA,NA,NA,NA,1.66376493202253e-06,4,1,"Forest_disc_NLD50"
5,6,2.83582442497832e-08,2,2.4,3.5,3.1,3.3,3.2,NA,NA,NA,NA,0.3634,0.191,0.1771,0.155,0.0654,0.0482,NA,NA,NA,NA,0.000283582442497832,6,1,"Forest_disc_NLD50"
5,7,8.07347504540076e-09,2.5,3.5,1.8,3.4,3.5,2.7,2.7,NA,NA,NA,0.504,0.2145,0.1676,0.1068,0.007,1e-04,0,NA,NA,NA,8.07347504540076e-06,5,1,"Forest_disc_NLD50"
5,8,1.18996279078199e-08,2.5,1.8,3.5,3.4,3.4,3.3,3.5,3.1,NA,NA,0.4598,0.1967,0.1108,0.0835,0.0602,0.0456,0.0428,7e-04,NA,NA,0.000118996279078199,6,1,"Forest_disc_NLD50"
5,9,3.1831930747115e-08,2.2,3.4,3.1,1.8,3.4,3.5,2.8,3.3,1.6,NA,0.4622,0.2301,0.1119,0.0829,0.0583,0.0341,0.0158,0.0047,0,NA,0.0031831930747115,7,1,"Forest_disc_NLD50"
5,10,3.68460027056126e-08,2.1,3.1,3.5,3.5,3.4,3.3,2,3.5,2.2,3.5,0.4907,0.2368,0.0687,0.0657,0.0586,0.0432,0.0197,0.0114,0.0036,0.0018,0.00368460027056126,7,1,"Forest_disc_NLD50"
1,2,0.000199127700114597,1,10,NA,NA,NA,NA,NA,NA,NA,NA,0.6385,0.3615,NA,NA,NA,NA,NA,NA,NA,NA,0.000199127700114597,2,1,"Forest_disc_NLD100"
1,3,1.32255151914263e-31,4.2,1,29.8,NA,NA,NA,NA,NA,NA,NA,0.8843,0.0993,0.0164,NA,NA,NA,NA,NA,NA,NA,1.32255151914263e-30,3,1,"Forest_disc_NLD100"
1,4,5.90400102150623e-09,2.8,5.2,30.5,1,NA,NA,NA,NA,NA,NA,0.513,0.472,0.0149,1e-04,NA,NA,NA,NA,NA,NA,5.90400102150623e-07,4,1,"Forest_disc_NLD100"
1,5,6.35140635113467e-31,3,5.1,30.1,29.8,1,NA,NA,NA,NA,NA,0.5544,0.4298,0.015,7e-04,1e-04,NA,NA,NA,NA,NA,6.35140635113467e-28,5,1,"Forest_disc_NLD100"
1,6,4.54525465333947e-33,4.4,3.6,1,29.4,30.3,30.3,NA,NA,NA,NA,0.6906,0.2019,0.0912,0.0086,0.0074,4e-04,NA,NA,NA,NA,4.54525465333947e-30,5,1,"Forest_disc_NLD100"
1,7,2.50443333655047e-10,3.3,3.4,6.2,4.3,30.3,1,13.5,NA,NA,NA,0.4042,0.2893,0.1782,0.098,0.0153,0.015,0,NA,NA,NA,2.50443333655047e-06,6,1,"Forest_disc_NLD100"
1,8,3.08161864079208e-08,4.8,3.4,1,1,30.5,2.4,1,28.6,NA,NA,0.5712,0.2911,0.0865,0.0197,0.0149,0.0111,0.0054,0,NA,NA,3.08161864079208e-05,5,1,"Forest_disc_NLD100"
1,9,4.65913626120943e-05,3.9,1.9,3.2,5.3,19.2,19,1,26.6,28.6,NA,0.4016,0.2953,0.1649,0.0705,0.0607,0.003,0.0028,0.0013,1e-04,NA,465.913626120943,9,1,"Forest_disc_NLD100"
1,10,3.38318604782403e-07,3.4,6.4,9.3,7.1,3.9,30.5,1,6.7,22.4,30.5,0.8345,0.0463,0.0413,0.0378,0.0148,0.0139,0.0087,0.0016,8e-04,2e-04,3.38318604782403,9,1,"Forest_disc_NLD100"
2,2,2.24026764406153e-08,46,70.6,NA,NA,NA,NA,NA,NA,NA,NA,0.5391,0.4608,NA,NA,NA,NA,NA,NA,NA,NA,2.24026764406153e-08,2,1,"Forest_disc_NLD100"
2,3,3.89615361705623e-30,56.9,76.6,37.8,NA,NA,NA,NA,NA,NA,NA,0.5955,0.2096,0.1948,NA,NA,NA,NA,NA,NA,NA,3.89615361705623e-29,3,1,"Forest_disc_NLD100"
2,4,9.72490015008117e-09,52,72.1,40.3,85.7,NA,NA,NA,NA,NA,NA,0.428,0.377,0.1948,3e-04,NA,NA,NA,NA,NA,NA,9.72490015008117e-07,4,1,"Forest_disc_NLD100"
2,5,1.99647682798167e-09,62.5,52.2,39.9,76.9,66.1,NA,NA,NA,NA,NA,0.3456,0.2524,0.2262,0.1756,2e-04,NA,NA,NA,NA,NA,1.99647682798167e-06,5,1,"Forest_disc_NLD100"
2,6,1.8476346694952e-09,55.6,39.8,76.6,66.7,58.6,52.9,NA,NA,NA,NA,0.2653,0.2325,0.1766,0.1388,0.1121,0.0746,NA,NA,NA,NA,1.8476346694952e-05,6,1,"Forest_disc_NLD100"
2,7,5.10083273460222e-09,56.1,40.8,74.6,73.6,72.1,43,63.1,NA,NA,NA,0.4462,0.2573,0.1579,0.0893,0.0441,0.0033,0.002,NA,NA,NA,0.000510083273460222,7,1,"Forest_disc_NLD100"
2,8,1.12617480683142e-08,42.5,50.4,69.4,70,76.1,62.1,54.9,60.2,NA,NA,0.2771,0.2083,0.1527,0.117,0.105,0.0769,0.0522,0.0109,NA,NA,0.0112617480683142,8,1,"Forest_disc_NLD100"
2,9,1.10695863339786e-33,59.9,39.4,42.8,82.2,76,67,70.4,80.2,76.5,NA,0.5415,0.2068,0.0698,0.0554,0.047,0.0371,0.0234,0.0162,0.0028,NA,1.10695863339786e-26,9,1,"Forest_disc_NLD100"
2,10,5.82488285384092e-31,59.4,39.6,80.2,80.9,76.8,63.9,67.5,44,79.3,70.7,0.5383,0.2451,0.0407,0.0367,0.0354,0.0302,0.0298,0.0194,0.0178,0.0065,5.82488285384092e-23,10,1,"Forest_disc_NLD100"
3,2,1.07695924372166e-07,1.7,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.5224,0.4775,NA,NA,NA,NA,NA,NA,NA,NA,1.07695924372166e-07,2,1,"Forest_disc_NLD100"
3,3,6.42398331922861e-30,1.5,2.5,3.5,NA,NA,NA,NA,NA,NA,NA,0.3389,0.3341,0.327,NA,NA,NA,NA,NA,NA,NA,6.42398331922861e-29,3,1,"Forest_disc_NLD100"
3,4,1.74593078730054e-10,1.5,2.5,3.5,3.5,NA,NA,NA,NA,NA,NA,0.3488,0.3254,0.3229,0.0029,NA,NA,NA,NA,NA,NA,1.74593078730054e-09,3,1,"Forest_disc_NLD100"
3,5,2.37219306776122e-09,3.5,1.5,2.6,2.2,1.5,NA,NA,NA,NA,NA,0.3224,0.3201,0.2346,0.0899,0.033,NA,NA,NA,NA,NA,2.37219306776122e-07,4,1,"Forest_disc_NLD100"
3,6,3.25415205979251e-08,1.6,2.8,3.4,3.5,3.5,1.6,NA,NA,NA,NA,0.4505,0.2084,0.1219,0.1133,0.1059,1e-04,NA,NA,NA,NA,3.25415205979251e-06,4,1,"Forest_disc_NLD100"
3,7,4.49835948482981e-08,1.9,1.5,3.5,3.2,3.3,3.3,2.3,NA,NA,NA,0.3151,0.2077,0.1799,0.147,0.1088,0.0374,0.004,NA,NA,NA,0.000449835948482981,6,1,"Forest_disc_NLD100"
3,8,4.15815507090993e-08,1.6,3.5,3.1,3,3.5,3.4,2,2.5,NA,NA,0.4144,0.105,0.0988,0.0956,0.094,0.0775,0.062,0.0526,NA,NA,0.00415815507090993,7,1,"Forest_disc_NLD100"
3,9,5.92120952185479e-08,1.7,3.4,3.5,3.1,3,3.5,3.3,2.2,3.4,NA,0.4628,0.0955,0.0864,0.0863,0.0799,0.0566,0.0522,0.0467,0.0335,NA,0.00592120952185479,7,1,"Forest_disc_NLD100"
3,10,5.37925000939887e-08,3.4,1.7,1.6,1.5,3,3,2.4,2.9,2.6,2.9,0.3578,0.3021,0.1009,0.0772,0.0528,0.0467,0.0317,0.0227,0.0081,0,0.0537925000939887,8,1,"Forest_disc_NLD100"
4,2,2.57163640557827e-07,4.2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,0.5635,0.4365,NA,NA,NA,NA,NA,NA,NA,NA,2.57163640557827e-07,2,1,"Forest_disc_NLD100"
4,3,3.48367609957689e-13,3.3,4.5,1.7,NA,NA,NA,NA,NA,NA,NA,0.4392,0.3044,0.2563,NA,NA,NA,NA,NA,NA,NA,3.48367609957689e-12,3,1,"Forest_disc_NLD100"
4,4,1.31322017273344e-07,2,4.4,3.7,4,NA,NA,NA,NA,NA,NA,0.3827,0.3315,0.275,0.0107,NA,NA,NA,NA,NA,NA,1.31322017273344e-05,4,1,"Forest_disc_NLD100"
4,5,5.00507365566737e-08,4.3,2.9,1.8,1.7,3.2,NA,NA,NA,NA,NA,0.4615,0.272,0.196,0.0443,0.0262,NA,NA,NA,NA,NA,5.00507365566737e-05,5,1,"Forest_disc_NLD100"
4,6,3.56634788389154e-08,3.4,4.4,1.7,2.1,4.5,1.8,NA,NA,NA,NA,0.3122,0.3068,0.166,0.1553,0.0597,0,NA,NA,NA,NA,3.56634788389154e-05,5,1,"Forest_disc_NLD100"
4,7,1.33479088223084e-08,4.4,1.6,2.5,3.1,3.5,3.7,4.5,NA,NA,NA,0.3823,0.1805,0.1595,0.1512,0.1239,0.0026,0,NA,NA,NA,0.000133479088223084,6,1,"Forest_disc_NLD100"
4,8,3.86556365223615e-08,4.3,2.7,1.5,4.1,2.5,1.9,4.2,1.5,NA,NA,0.3768,0.2476,0.105,0.102,0.0852,0.0679,0.0155,0,NA,NA,0.00386556365223615,7,1,"Forest_disc_NLD100"
4,9,2.01026448209898e-08,4.3,2.5,2.8,1.5,1.5,3.1,1.5,1.5,2.9,NA,0.473,0.2775,0.0591,0.0546,0.0434,0.0432,0.0221,0.0153,0.0119,NA,0.000201026448209898,6,1,"Forest_disc_NLD100"
4,10,1.5682354525666e-09,3.1,4.4,1.5,2.2,1.5,4.3,1.6,1.5,1.5,2.1,0.3941,0.3553,0.0711,0.0515,0.0422,0.0288,0.0268,0.0132,0.0118,0.0052,0.00015682354525666,7,1,"Forest_disc_NLD100"
5,2,7.34193282695635e-08,2.1,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.5394,0.4605,NA,NA,NA,NA,NA,NA,NA,NA,7.34193282695635e-08,2,1,"Forest_disc_NLD100"
5,3,4.28452104343845e-08,2,3.4,2.6,NA,NA,NA,NA,NA,NA,NA,0.3632,0.3586,0.2782,NA,NA,NA,NA,NA,NA,NA,4.28452104343845e-07,3,1,"Forest_disc_NLD100"
5,4,3.82121624976834e-08,2,2.9,3.5,3.3,NA,NA,NA,NA,NA,NA,0.439,0.3635,0.1969,5e-04,NA,NA,NA,NA,NA,NA,3.82121624976835e-06,4,1,"Forest_disc_NLD100"
5,5,7.16943454972153e-08,3.3,2.1,2.1,3,2.2,NA,NA,NA,NA,NA,0.4362,0.4,0.1211,0.0274,0.0152,NA,NA,NA,NA,NA,7.16943454972153e-06,4,1,"Forest_disc_NLD100"
5,6,6.17758326827794e-08,3.3,2,2.3,3.4,3.4,2.9,NA,NA,NA,NA,0.3672,0.3475,0.2154,0.0692,6e-04,2e-04,NA,NA,NA,NA,6.17758326827794e-05,5,1,"Forest_disc_NLD100"
5,7,4.48615939997728e-08,2,2.5,3.4,3.4,2.5,3.1,1.9,NA,NA,NA,0.3627,0.1801,0.1698,0.1654,0.0662,0.0552,5e-04,NA,NA,NA,4.48615939997728e-05,5,1,"Forest_disc_NLD100"
5,8,3.20234838203278e-08,1.9,2.5,3.5,3.1,3.3,3.5,2.8,2.7,NA,NA,0.3377,0.2079,0.1364,0.1147,0.0731,0.0463,0.0458,0.0381,NA,NA,0.00320234838203278,7,1,"Forest_disc_NLD100"
5,9,4.82736202692217e-08,2.1,3,1.9,3.5,3.3,3.1,2.9,3.5,3.2,NA,0.3601,0.1465,0.1391,0.1317,0.1213,0.0479,0.0274,0.015,0.011,NA,0.0482736202692216,8,1,"Forest_disc_NLD100"
5,10,5.02743335741604e-08,2,3.5,3.2,3.3,3.2,3,2.8,2.6,2.5,2,0.4141,0.1051,0.0964,0.0841,0.0718,0.0624,0.0621,0.0469,0.029,0.0281,0.0502743335741604,8,1,"Forest_disc_NLD100"
1,2,0.00023316524975323,1,10.7,NA,NA,NA,NA,NA,NA,NA,NA,0.6593,0.3407,NA,NA,NA,NA,NA,NA,NA,NA,0.00023316524975323,2,1,"Forest_disc_NLD200"
1,3,3.97768808256037e-30,4.2,1,29.9,NA,NA,NA,NA,NA,NA,NA,0.8852,0.0967,0.0181,NA,NA,NA,NA,NA,NA,NA,3.97768808256037e-29,3,1,"Forest_disc_NLD200"
1,4,3.55803128228835e-30,4.3,3.9,1,29.9,NA,NA,NA,NA,NA,NA,0.6776,0.209,0.0953,0.018,NA,NA,NA,NA,NA,NA,3.55803128228835e-28,4,1,"Forest_disc_NLD200"
1,5,1.45854911764897e-35,4,1.7,9.2,30.3,1,NA,NA,NA,NA,NA,0.8492,0.1083,0.0255,0.017,0,NA,NA,NA,NA,NA,1.45854911764897e-33,4,1,"Forest_disc_NLD200"
1,6,3.18013710545239e-05,4.2,1,22.4,6.7,7.6,3.2,NA,NA,NA,NA,0.743,0.2118,0.0448,4e-04,0,0,NA,NA,NA,NA,0.00318013710545239,4,1,"Forest_disc_NLD200"
1,7,2.10002289018401e-18,4,1,3.4,30.5,12.9,30.2,17,NA,NA,NA,0.8669,0.0663,0.04,0.012,0.0099,0.0046,4e-04,NA,NA,NA,2.10002289018401e-13,7,1,"Forest_disc_NLD200"
1,8,1.85738739608515e-32,4.2,1,1,1,30.5,30.5,30.3,22.7,NA,NA,0.8916,0.0589,0.0223,0.008,0.0062,0.0061,0.0034,0.0033,NA,NA,1.85738739608515e-29,5,1,"Forest_disc_NLD200"
1,9,1.00254900201853e-12,3.8,5.1,1.4,5.9,30.1,3.3,17,5.4,1,NA,0.7028,0.1119,0.085,0.0639,0.0175,0.0173,7e-04,5e-04,4e-04,NA,1.00254900201853e-05,9,1,"Forest_disc_NLD200"
1,10,6.03458937271288e-08,4.1,1,30.5,13.3,17.1,12.6,16.2,30.5,15.2,19.1,0.8812,0.0923,0.016,0.0068,0.0023,0.0011,2e-04,0,0,0,0.00603458937271288,7,1,"Forest_disc_NLD200"
2,2,1.85074702286643e-08,45.8,70.7,NA,NA,NA,NA,NA,NA,NA,NA,0.5457,0.4543,NA,NA,NA,NA,NA,NA,NA,NA,1.85074702286643e-08,2,1,"Forest_disc_NLD200"
2,3,1.66209942653121e-08,70.9,47.7,42.9,NA,NA,NA,NA,NA,NA,NA,0.4421,0.3811,0.1768,NA,NA,NA,NA,NA,NA,NA,1.66209942653121e-07,3,1,"Forest_disc_NLD200"
2,4,1.26489317828469e-31,59,42.8,78.1,36.1,NA,NA,NA,NA,NA,NA,0.5609,0.1734,0.1663,0.0994,NA,NA,NA,NA,NA,NA,1.26489317828469e-29,4,1,"Forest_disc_NLD200"
2,5,4.09173366474904e-09,42,62.6,56.8,75.8,91,NA,NA,NA,NA,NA,0.3321,0.2344,0.2295,0.2035,5e-04,NA,NA,NA,NA,NA,4.09173366474904e-06,5,1,"Forest_disc_NLD200"
2,6,7.15523545315451e-10,59.3,62.1,44,78.3,38.2,65.4,NA,NA,NA,NA,0.2667,0.253,0.2092,0.1504,0.1208,0,NA,NA,NA,NA,7.15523545315451e-07,5,1,"Forest_disc_NLD200"
2,7,1.360355493024e-31,53.8,36.4,66.1,73,79.6,63.6,56.1,NA,NA,NA,0.5041,0.1566,0.1483,0.093,0.0921,0.0033,0.0027,NA,NA,NA,1.360355493024e-26,7,1,"Forest_disc_NLD200"
2,8,1.43430396052553e-08,45.2,71.8,53,65.9,60.8,36.4,53.7,58.1,NA,NA,0.4497,0.3625,0.0852,0.0603,0.028,0.0116,0.0027,1e-04,NA,NA,0.0143430396052553,8,1,"Forest_disc_NLD200"
2,9,7.46406808325843e-11,62.8,41.9,61.2,43,36.2,45.7,84.9,74.5,53.8,NA,0.4408,0.1089,0.0911,0.0795,0.0745,0.0686,0.0544,0.0471,0.0351,NA,0.000746406808325843,9,1,"Forest_disc_NLD200"
2,10,1.38559469010781e-09,62.1,41.5,82.5,74.3,41.3,48.2,54.9,73.1,70.8,63.6,0.4353,0.2641,0.0565,0.0538,0.0507,0.042,0.0319,0.0236,0.0231,0.0189,0.138559469010781,10,1,"Forest_disc_NLD200"
3,2,1.02630358941122e-07,1.7,3.3,NA,NA,NA,NA,NA,NA,NA,NA,0.5085,0.4914,NA,NA,NA,NA,NA,NA,NA,NA,1.02630358941122e-07,2,1,"Forest_disc_NLD200"
3,3,2.03658360825634e-27,3.5,1.5,2.5,NA,NA,NA,NA,NA,NA,NA,0.3416,0.3355,0.3229,NA,NA,NA,NA,NA,NA,NA,2.03658360825634e-26,3,1,"Forest_disc_NLD200"
3,4,2.46383587932453e-08,1.6,3.5,2.8,2,NA,NA,NA,NA,NA,NA,0.4094,0.3295,0.2273,0.0337,NA,NA,NA,NA,NA,NA,2.46383587932453e-06,4,1,"Forest_disc_NLD200"
3,5,1.04654794502226e-08,3.4,1.5,2.2,2.8,1.5,NA,NA,NA,NA,NA,0.3845,0.286,0.2433,0.0812,0.005,NA,NA,NA,NA,NA,1.04654794502226e-06,4,1,"Forest_disc_NLD200"
3,6,1.80797264882549e-08,3.4,2.1,1.5,1.5,2.7,1.5,NA,NA,NA,NA,0.4275,0.2642,0.1502,0.1373,0.0207,0,NA,NA,NA,NA,1.80797264882549e-06,4,1,"Forest_disc_NLD200"
3,7,5.29115472413116e-08,1.6,3.2,3.5,2.1,3.5,3.2,3.1,NA,NA,NA,0.4039,0.2245,0.1456,0.1123,0.0748,0.0345,0.0042,NA,NA,NA,5.29115472413116e-05,5,1,"Forest_disc_NLD200"
3,8,4.33663467910829e-08,1.6,3.5,3,3,1.9,3.5,3.4,3.5,NA,NA,0.4002,0.158,0.1412,0.0865,0.0789,0.0484,0.0475,0.0394,NA,NA,4.33663467910829e-05,5,1,"Forest_disc_NLD200"
3,9,4.1239002854284e-09,1.5,2,3.5,3.5,3.4,2.6,2.6,2.8,2.8,NA,0.2932,0.1442,0.1394,0.1208,0.0887,0.0617,0.0558,0.0558,0.0405,NA,4.1239002854284e-05,6,1,"Forest_disc_NLD200"
